Zip Code,Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,1st Dose - Percent Population,Vaccine Series Completed - Daily,Vaccine Series Completed - Cumulative,Vaccine Series Completed  - Percent Population,Total Doses - Daily - Age 5+,Total Doses - Daily - Age 12+,Total Doses - Daily - Age 18+,Total Doses - Daily - Age 65+,1st Dose - Daily - Age 5+,1st Dose - Daily - Age 12+,1st Dose - Daily - Age 18+,1st Dose - Daily - Age 65+,Vaccine Series Completed - Daily - Age 5+,Vaccine Series Completed - Daily - Age 12+,Vaccine Series Completed - Daily - Age 18+,Vaccine Series Completed - Daily - Age 65+,Population,ZIP Code Location,Row_ID
60601,11/04/2021,109,25591,32,13475,0.893,13,11368,0.754,109,105,103,22,32,28,28,2,13,13,11,1,15083,POINT (-87.622844 41.886262),60601-20211104
60603,11/04/2021,24,2981,10,1770,1.68,6,1258,1.2,24,22,21,8,10,8,8,0,6,6,5,0,1052,POINT (-87.625473 41.880112),60603-20211104
60605,11/04/2021,188,46577,42,22958,0.79,7,20907,0.719,188,175,174,25,42,29,28,2,7,7,7,1,29060,POINT (-87.623449 41.867824),60605-20211104
60606,11/04/2021,36,6745,13,3690,1.12,2,3095,0.942,36,34,32,5,13,11,9,1,2,2,2,0,3287,POINT (-87.63676 41.882634),60606-20211104
60607,11/04/2021,215,45259,46,22408,0.765,23,20751,0.708,215,199,197,16,46,31,31,1,23,23,21,1,29293,POINT (-87.652727 41.876104),60607-20211104
60608,11/04/2021,304,98486,37,49448,0.618,37,46396,0.58,304,293,280,65,37,26,24,2,37,37,26,2,80059,POINT (-87.670366 41.849879),60608-20211104
60610,11/04/2021,253,60581,61,29893,0.737,22,27288,0.673,253,234,233,52,61,42,42,5,22,22,21,2,40548,POINT (-87.63581 41.90455),60610-20211104
60611,11/04/2021,233,59428,61,29527,0.889,11,25361,0.763,233,210,209,41,61,39,38,6,11,11,11,0,33224,POINT (-87.620291 41.894734),60611-20211104
60612,11/04/2021,124,38384,28,19645,0.582,22,17862,0.529,124,112,111,23,28,16,15,0,22,22,22,3,33735,POINT (-87.687011 41.88004),60612-20211104
60613,11/04/2021,364,78927,88,38515,0.759,15,36246,0.714,364,311,308,44,88,35,33,1,15,15,15,1,50761,POINT (-87.661343 41.953742),60613-20211104
60614,11/04/2021,526,99372,150,48572,0.675,20,45047,0.626,526,418,416,74,150,43,42,2,20,19,18,0,71954,POINT (-87.652064 41.922605),60614-20211104
60615,11/04/2021,184,55770,24,27263,0.672,21,25020,0.616,184,177,172,48,24,17,14,1,21,21,19,1,40590,POINT (-87.602725 41.801993),60615-20211104
60616,11/04/2021,223,74735,35,37350,0.689,27,34844,0.643,223,215,211,47,35,27,25,3,27,27,25,3,54197,POINT (-87.629531 41.844869),60616-20211104
60617,11/04/2021,268,84570,52,43207,0.517,35,39229,0.47,268,262,253,100,52,46,40,9,35,35,32,3,83553,POINT (-87.556897 41.721257),60617-20211104
60619,11/04/2021,253,62102,44,31552,0.515,56,28538,0.466,253,251,242,96,44,42,41,3,56,56,48,3,61207,POINT (-87.60569 41.744737),60619-20211104
60620,11/04/2021,271,64958,36,33413,0.493,46,30140,0.445,271,271,267,131,36,36,32,5,46,46,46,4,67711,POINT (-87.651656 41.740873),60620-20211104
60622,11/04/2021,279,78103,48,38854,0.729,15,36407,0.683,279,254,252,16,48,23,23,2,15,15,13,2,53294,POINT (-87.681818 41.902762),60622-20211104
60623,11/04/2021,258,96020,53,49506,0.609,56,45499,0.56,258,248,229,82,53,43,37,5,56,56,44,6,81283,POINT (-87.717446 41.850321),60623-20211104
60624,11/04/2021,131,32582,16,17361,0.498,30,15321,0.439,131,130,123,42,16,15,12,0,30,30,26,1,34892,POINT (-87.722735 41.879417),60624-20211104
